Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Oil,c$,7.57852E+12,7.51853E+12,8.08255E+12,8.64645E+12,9.20054E+12,9.96869E+12,1.00346E+13,1.05135E+13,1.05865E+13,1.0479E+13,1.05007E+13,1.00286E+13,9.32872E+12,8.68185E+12,8.00119E+12,7.38296E+12,6.73305E+12,6.12643E+12,5.55539E+12,5.03872E+12,4.55889E+12,4.21143E+12,4.03937E+12,3.97266E+12,3.88912E+12,3.8173E+12,3.71982E+12,3.60453E+12,3.48007E+12,3.35702E+12,3.24732E+12,3.13238E+12,3.04008E+12,2.94928E+12,2.80047E+12
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Hydro,GW,474.3593339,549.0278844,616.7639662,688.7621638,739.9887629,802.347269,912.144163,1065.942128,1176.300153,1196.996446,1140.736779,1155.166581,1236.656909,1347.508022,1449.332124,1534.673138,1596.184477,1638.978711,1667.145439,1679.785493,1680.591023,1693.903595,1730.761482,1770.267503,1797.414346,1819.124084,1828.590045,1829.759484,1826.642491,1824.361909,1819.467912,1814.380859,1816.301947,1809.967558,1801.468573
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Nuclear,GW,96.96239304,160.085871,215.6051489,284.6792177,327.0742262,338.0129817,342.5713159,347.4757565,362.2443617,400.3877477,666.452014,1072.789939,1661.566325,2430.255736,3300.783206,4227.401367,5092.303747,5865.262618,6600.927827,7225.354019,7783.511353,8182.287057,8343.187223,8499.116896,8676.653009,8834.868376,8917.907858,8992.26117,9037.901387,9101.696771,9114.268475,9146.705523,9212.964105,9204.554753,9170.029122
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy,TWh/Year,27958.0181,28923.9351,31691.67086,35931.26702,39902.82562,45931.17267,50626.75483,55982.48142,59501.2519,64645.5773,70412.70365,72795.41594,73940.77182,78739.62212,83242.74498,88721.89884,92470.55404,95335.4482,97801.79605,99564.62117,101119.6554,102180.7554,102314.8756,102968.2734,104007.0898,105041.6352,105202.6843,104894.7647,104715.4332,104815.2325,104276.3889,103836.0966,104030.5234,103574.3131,103400.4801
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Coal,TWh/Year,8193.692618,7945.136867,8161.399406,9296.477917,10636.87509,13126.40973,15274.54699,16231.36702,16495.89328,17671.9584,18006.11796,15153.24785,11421.46995,8761.305959,6658.675379,5016.21196,3762.931841,2805.438349,2079.497377,1531.519833,1122.423677,816.5646572,615.9681967,472.6816686,345.6258792,246.0282901,173.1540622,120.9792186,84.31880268,58.53024893,40.39945924,27.83690261,19.05641786,12.95254432,8.764607396
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Gas,TWh/Year,5153.514078,5531.727277,6388.4743,7559.497967,8567.634483,9998.638554,11176.1741,12984.99006,14358.98689,15946.67845,17040.23369,17300.67492,16415.08778,15506.64185,14122.5669,12556.18104,11007.24682,9522.33996,8220.291072,7024.134463,6013.512942,5311.918568,4962.505789,4723.365216,4467.582303,4246.887266,3984.267828,3703.295462,3438.131002,3168.85121,2912.924327,2675.848294,2451.901343,2241.029869,2037.472074
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Oil,TWh/Year,12009.86787,12012.1421,12990.61141,14077.8734,15241.82369,16902.1748,17416.8651,18653.34516,18898.73186,18910.41349,19032.33361,18071.12544,16251.95478,14718.04231,13058.47568,11522.99682,10071.12282,8711.653711,7535.240264,6485.586944,5571.000162,4914.564822,4488.117102,4203.895698,3920.800015,3635.018869,3368.756768,3111.24922,2842.459316,2596.348416,2366.510105,2141.152398,1950.728194,1758.56866,1555.377096
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Nuclear,TWh/Year,727.2245225,1200.327767,1616.743551,2134.985871,2452.456801,2534.30637,2570.206961,2606.093147,2616.753771,2892.561235,4811.455687,7749.505155,11396.52876,16667.96005,22640.86206,29006.23301,34932.9758,40236.31953,45305.84251,49583.30966,53452.49338,56156.54888,57274.74355,58316.18102,59517.19229,60586.73881,61163.26422,61707.0337,62023.95872,62468.83828,62540.85709,62759.63525,63225.11638,63139.76442,62915.90636
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Biomass,TWh/Year,6.288190649,23.06867065,19.89810276,37.6322317,61.14546967,79.18996608,222.1862854,322.0356516,401.1768194,528.7346292,429.082159,525.4004505,912.6517991,1566.201821,2338.069241,3158.801096,3846.145189,4365.858722,4757.557674,5042.049962,5200.941289,5369.260482,5623.793433,5937.351385,6220.132161,6425.531913,6566.712929,6552.583203,6502.00084,6468.927946,6428.653057,6392.752905,6370.942728,6331.90339,6292.566721
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Hydro,TWh/Year,1823.355317,2111.808451,2370.965696,2646.813063,2844.023024,3083.147883,3508.276808,4100.552338,4435.965826,4513.19601,4301.391802,4356.565567,4581.643657,4991.618799,5375.109114,5682.977752,5913.807233,6073.882823,6175.678706,6225.814737,6222.248442,6273.637892,6415.330455,6564.903829,6672.972924,6748.046059,6779.818824,6777.839493,6768.961367,6764.520991,6751.143198,6738.847618,6735.675573,6724.666373,6679.121023
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Solar,TWh/Year,1.2611337,1.10985303,0.946139029,0.752414148,5.407200712,26.93255277,24.07527638,25.71235382,165.458243,686.6860807,1625.452241,2841.890581,4383.438455,5970.293109,7305.986536,8303.315989,8846.862138,8944.439288,8918.113998,8858.981449,8855.283344,8776.782244,8658.484857,8709.398961,8973.906839,9238.325384,9342.070664,9493.797793,9577.465958,9541.645605,9523.404076,9642.035821,9712.99698,9701.719036,9698.777223
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Wind,TWh/Year,1.367248967,1.203259426,1.025792208,0.815799202,0.727041957,24.23078188,206.1669927,680.3373384,1342.82688,2319.267733,3518.833825,4663.672491,5907.349443,7171.083267,8083.703854,8683.212536,8927.060093,8863.510544,8600.439552,8347.490426,8130.181695,7976.560915,7685.331474,7585.620485,7627.132842,7651.192322,7751.561014,7769.68992,7700.541416,7550.815235,7376.237599,7404.465251,7437.010607,7386.276909,7233.129439
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity,GW,1827.012563,1966.24524,2182.571984,2495.522217,2772.749884,3166.836988,3594.024427,4207.688628,5007.764844,6064.972037,7563.807819,9103.495486,11160.37939,13343.92996,15301.09325,16947.13956,18086.5427,18715.89041,19138.07306,19465.16737,19778.69258,19965.74602,19880.71496,20020.46469,20363.22818,20681.54044,20852.90861,21000.39637,21025.93154,20954.68989,20835.82519,20923.12059,21028.14909,20963.56423,20818.95247
