Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Temperature Anomaly,K,0.48923555,0.51070715,0.67632166,0.678296172,0.87404313,0.964383961,1.060401843,1.230201152,1.372409899,1.587303009,1.754728507,1.937838034,2.159268403,2.333954514,2.530989818,2.666339824,2.81143581,2.931957487,3.078179982,3.185829173,3.300813036,3.41313589,3.512400397,3.625572456,3.705174407,3.791104389,3.867305573,3.965615272,4.023297961,4.109635063,4.188137111,4.301208975,4.385988106,4.477486572,4.562080493
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions,MtCO2/Year,26418.38264,25226.70431,26610.98875,28764.73985,31126.8294,35595.70896,38601.91737,41131.0074,42451.6797,45003.61371,45293.48776,43392.16163,39236.39817,36654.34737,34159.44964,32042.6907,29986.00651,28125.27686,26434.28815,25085.24671,23671.52551,23337.24428,23432.60195,23942.56834,24428.40369,25457.33066,25842.80311,26714.12172,26859.52495,26998.56317,27229.59274,27439.61025,28489.8279,28192.68034,28363.39572
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18847.77803,19116.45126,20463.31844,22801.57234,25376.08557,29308.16727,32099.21437,34264.77349,35517.6807,37527.63219,38297.13038,35110.06062,30760.02416,27196.4346,24016.15983,21290.52551,18852.94142,16741.28567,14899.53005,13335.37705,11929.83813,10904.9909,10521.22816,10395.96288,10279.76416,10203.64686,10025.9316,9779.392511,9468.785686,9113.805039,8782.399345,8448.10773,8121.190544,7821.418408,7513.041949
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7195.469298,5900.326349,5881.153899,5633.619102,5182.006698,5513.196165,5351.91151,5422.413512,5195.148456,5297.425734,4742.507096,5283.42374,5486.057678,5983.602627,6353.407394,6378.28412,6294.075828,6035.649353,5797.718424,5500.524805,5313.756921,5197.516828,5282.574154,5262.085688,5238.344277,5267.68771,5231.731406,5277.581968,5311.478949,5292.385526,5370.119538,5374.826682,5360.746647,5487.236724,5403.500049
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.655654428,0.558987145,0.444581719,5.006595332,34.67755341,56.63278234,149.3797681,521.0408406,1108.391682,1945.108782,2934.169389,4145.014342,5496.953411,6748.57957,7902.971949,8779.96674,9439.666296,9900.759046,10302.68496,10697.68011,10965.13949,11104.53325,11383.34564,11802.18058,12373.4438,12986.76381,13438.59947,13755.84344,13956.43276,14187.33995,14463.37561,14816.35564,15168.57848,15632.40554
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.655654647,0.558988015,0.465480535,0.502191683,17.87891893,146.6908473,463.8268778,935.8331089,1682.080863,2645.785291,3649.479581,4728.198476,5920.479672,6919.629716,7787.859876,8479.105382,8968.834158,9189.775833,9449.878945,9623.055705,9723.697678,9700.615936,9794.792056,10040.51949,10345.78722,10675.41786,10939.8694,11126.73122,11202.5317,11230.48002,11396.84022,11511.14924,11646.18211,11880.51996
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Biomass,Mt/Year,6.380505104,22.04082523,20.23563928,33.02060425,45.91983206,55.6871999,137.6794629,191.670036,246.8911016,328.9887037,266.4555484,341.1318391,596.9238337,1021.002068,1519.618743,2015.844139,2442.13468,2790.287294,3032.858654,3213.19805,3325.971189,3445.207392,3642.374862,3870.449515,4102.505601,4300.865607,4431.297827,4504.061964,4576.124344,4598.133794,4612.83057,4656.799813,4667.442816,4687.80029,4699.271076
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Production|Biomass,Mt/Year,5.666528828,19.79462565,18.30225984,29.82936384,42.1589832,50.3314895,125.2674374,176.4656699,227.986961,303.5661514,254.7552863,314.7353071,549.468714,937.0155088,1404.906552,1885.77359,2313.378517,2664.305361,2929.410039,3114.914952,3251.570551,3367.971793,3555.286006,3771.326098,4002.981955,4203.811908,4359.377044,4446.097678,4496.932974,4523.289737,4545.17637,4589.254683,4608.422454,4630.152717,4650.866768
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Coal,c$,2.21326E+12,2.16599E+12,2.23831E+12,2.53067E+12,2.86657E+12,3.45579E+12,3.92112E+12,4.07957E+12,4.15321E+12,4.43762E+12,4.49661E+12,3.84893E+12,2.99836E+12,2.32364E+12,1.79664E+12,1.38834E+12,1.07145E+12,8.26018E+11,6.36483E+11,4.89785E+11,3.76272E+11,2.91205E+11,2.96851E+11,3.4564E+11,4.08591E+11,4.56408E+11,4.93522E+11,5.13268E+11,5.23986E+11,5.14901E+11,4.9999E+11,4.72275E+11,4.44783E+11,4.0439E+11,3.58116E+11
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Gas,c$,2.10666E+12,2.30497E+12,2.67687E+12,3.12256E+12,3.46589E+12,3.89541E+12,4.18438E+12,4.6576E+12,5.03037E+12,5.53318E+12,5.84601E+12,6.1248E+12,6.17931E+12,6.26617E+12,6.2484E+12,6.12317E+12,5.86247E+12,5.56263E+12,5.21355E+12,4.82764E+12,4.44274E+12,4.15736E+12,4.0232E+12,3.93663E+12,3.8507E+12,3.75845E+12,3.66286E+12,3.52641E+12,3.37485E+12,3.23024E+12,3.08328E+12,2.94556E+12,2.80209E+12,2.6846E+12,2.57024E+12
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Oil,c$,7.58337E+12,7.71955E+12,8.33331E+12,8.9465E+12,9.63978E+12,1.05083E+13,1.0667E+13,1.13057E+13,1.14564E+13,1.15542E+13,1.16625E+13,1.13959E+13,1.06999E+13,1.01673E+13,9.59907E+12,9.05697E+12,8.48669E+12,7.9213E+12,7.36756E+12,6.84831E+12,6.36384E+12,6.00366E+12,5.85964E+12,5.84905E+12,5.8313E+12,5.86471E+12,5.87331E+12,5.82492E+12,5.74533E+12,5.6393E+12,5.56365E+12,5.4595E+12,5.35824E+12,5.25515E+12,5.14026E+12
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Hydro,GW,483.1276163,564.4752067,631.0850886,703.8152617,752.2247248,821.2024045,947.4705496,1098.948017,1214.311185,1244.412636,1192.715916,1218.352043,1317.587976,1453.958383,1579.53486,1683.421131,1765.291266,1820.792788,1856.253267,1876.797967,1884.160336,1902.5129,1943.315162,1989.405375,2024.746717,2056.869927,2080.017829,2092.992673,2101.00382,2105.626438,2104.993458,2107.500751,2106.661206,2107.001166,2111.718232
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Nuclear,GW,98.15724509,169.1200241,228.8545973,302.7039408,349.9917,363.9868411,373.2687153,386.086402,414.263119,466.6012731,796.9706416,1333.370216,2095.292314,3108.671413,4306.512084,5584.009058,6814.737658,8005.182287,9088.465637,10089.89627,10996.22707,11641.95102,12066.63726,12422.6992,12788.65088,13220.03262,13571.63165,13921.45325,14164.58633,14353.36242,14617.49032,14884.15272,15116.44431,15298.40518,15421.51829
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy,TWh/Year,28049.24085,29489.03579,32538.87341,37072.35019,41753.78634,48374.91213,54011.12932,60308.84114,64574.00513,71522.81276,78526.85844,82670.83415,84937.17769,91605.96308,99064.10002,107077.6921,114094.847,120370.4443,125970.153,130763.822,135550.9833,138931.4504,141677.0587,144412.4905,148464.0872,152798.5918,156758.0682,159510.9286,161891.3429,163302.3006,164292.9632,165568.7504,166932.7849,168236.1537,170298.043
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Coal,TWh/Year,8262.753498,8120.49782,8446.645191,9668.430983,11195.90046,13891.44782,16436.58412,17706.01089,18268.66718,20059.08974,20749.31781,17755.49342,13379.71085,10257.44674,7786.411311,5875.133879,4413.07024,3299.816297,2455.486113,1816.603202,1336.613111,983.9850868,953.8672068,1045.460709,1170.377771,1237.669673,1255.728612,1230.872991,1169.590967,1094.154593,985.7510433,870.7416541,742.0315639,627.3760372,505.9057796
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Gas,TWh/Year,5180.716756,5697.983039,6667.047674,7927.087563,9072.679165,10657.87549,12070.04472,14226.99713,15898.46936,18130.41845,19582.07565,20260.82054,19606.70252,19026.21483,17907.95696,16449.21401,14730.72819,13060.39564,11423.84179,9955.215589,8631.587823,7670.452812,7026.472556,6569.007961,6127.859163,5720.857763,5329.662664,4939.874076,4575.323977,4222.751624,3906.431665,3638.293716,3380.544049,3144.976014,2938.961936
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Oil,TWh/Year,12043.96418,12299.44418,13402.85529,14585.89011,16009.21479,17866.67247,18591.60611,20139.44409,20521.36002,20913.27533,21142.30164,20499.2139,18571.88535,17100.57762,15491.2737,13948.14587,12468.45612,11068.03905,9778.514442,8676.639951,7654.337372,6887.177401,6417.728129,6097.046231,5805.464488,5550.795193,5273.934112,5019.341528,4717.810453,4424.76059,4145.262852,3882.417552,3616.942417,3368.038784,3091.703601
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Nuclear,TWh/Year,736.1912275,1267.813049,1716.514152,2269.604285,2624.628861,2730.183584,2801.776281,2895.689602,2990.798,3367.820012,5755.535687,9621.602134,14382.20124,21337.57934,29549.60717,38334.08701,46762.38937,54955.39329,62370.87074,69296.72003,75458.46257,79935.28747,82855.34162,85267.22877,87780.04529,90787.86729,93135.41993,95590.11931,97183.89473,98502.25169,100274.7689,102104.0179,103727.8856,104961.8741,105799.3701
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Biomass,TWh/Year,11.12846913,39.08364758,36.4298625,60.18696528,86.38393692,105.6881861,268.4431976,387.1176176,504.8065675,685.9511152,582.1018402,727.0243456,1257.261358,2152.483418,3228.831016,4319.951142,5303.815033,6118.749323,6725.734189,7135.817909,7453.67956,7723.395519,8173.760216,8686.555342,9185.07944,9683.777717,10023.37535,10233.54652,10357.76378,10414.21621,10440.24842,10533.8264,10590.82378,10639.08135,10714.09479
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Hydro,TWh/Year,1858.303184,2170.649097,2426.479052,2706.551073,2893.546818,3157.89655,3645.228764,4225.488337,4582.883205,4697.849605,4501.5554,4598.782904,4887.710156,5389.690531,5855.325569,6243.985383,6542.505631,6748.8317,6884.810277,6958.755118,6988.007697,7047.165988,7196.579895,7368.907933,7505.809204,7622.107442,7702.017262,7758.733431,7786.287434,7795.497203,7799.608001,7800.077456,7805.961855,7810.579298,7825.28024
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Solar,TWh/Year,1.261860989,1.110529504,0.946784071,0.752997869,8.474991979,58.72559032,95.91282093,252.8793654,882.1665951,1877.038547,3294.04349,4968.898244,7018.89779,9308.204399,11429.29329,13380.2774,14870.4381,15983.29682,16765.58949,17447.05355,18110.95334,18563.71438,18798.45129,19279.32792,19980.27041,20957.07137,21991.69103,22755.15598,23292.49207,23630.68818,24024.85973,24486.10652,25091.69405,25689.7633,26475.30778
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Wind,TWh/Year,1.3724023,1.208010796,1.029933897,0.856186122,0.924833691,32.91358901,269.9070017,853.2661612,1720.877778,3094.429251,4864.564321,6717.001097,8691.556344,10874.90123,12727.70841,14297.72898,15602.40112,16480.52054,16900.43514,17345.90702,17666.65572,17893.50277,17835.01025,18000.67467,18440.54814,19002.32938,19593.87623,20126.86636,20473.10686,20579.44926,20664.87783,20958.111,21177.12406,21437.19217,21821.4909
FRIDAv2.1,HD_IR_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity,GW,1844.104864,2021.397666,2258.212531,2590.325738,2900.497689,3354.31987,3901.304153,4720.878104,5992.247028,7658.150262,9866.078182,12221.57623,15164.69414,18529.75027,21788.33068,24903.03829,27516.88561,29677.2565,31269.77753,32778.20409,34107.59105,35027.61764,35551.56049,36294.54668,37332.90586,38644.67587,39930.29599,40975.21249,41692.80916,42124.91984,42609.69833,43286.5254,43949.9474,44587.15958,45380.63261
