Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
TIAM_Grantham,D5_NG_HP_PriceShock,FSU,Energy System Cost,M$(2010)/yr,266688,1222526,3232463,3988673,4185511,4013397,4182170,4178624,3630246,3689012,3979040
TIAM_Grantham,D5_NG_HP_PriceShock,IND,Energy System Cost,M$(2010)/yr,148023,393407,996870,4470862,8146641,11394511,12743491,13094299,14009486,14541499,15219442
TIAM_Grantham,D5_NG_HP_PriceShock,JPN,Energy System Cost,M$(2010)/yr,297468,505560,1052875,1045983,1197946,1299238,1283988,1303462,1309210,1331013,1349853
TIAM_Grantham,D5_NG_HP_PriceShock,MEA,Energy System Cost,M$(2010)/yr,195606,664320,1350894,2456639,3463924,3694561,3850764,4109494,4237506,4371339,4559481
TIAM_Grantham,D5_NG_HP_PriceShock,MEX,Energy System Cost,M$(2010)/yr,58898,164841,308987,416085,567476,674169,719444,752118,783492,814966,844546
TIAM_Grantham,D5_NG_HP_PriceShock,ODA,Energy System Cost,M$(2010)/yr,224447,685956,1730423,3429176,4825558,6436239,7231039,7946760,8415331,8972526,9469322
TIAM_Grantham,D5_NG_HP_PriceShock,SKO,Energy System Cost,M$(2010)/yr,122099,257107,472115,654498,719714,747822,751623,736855,721111,712234,710746
TIAM_Grantham,D5_NG_HP_PriceShock,USA,Energy System Cost,M$(2010)/yr,748952,2035646,4911481,5584989,6497686,6823735,6906197,7073613,7142986,7241758,7333308
TIAM_Grantham,D5_NG_HP_PriceShock,WEU,Energy System Cost,M$(2010)/yr,451261,1371357,2621027,4164836,3444323,3498405,3465147,3514817,3555761,3652228,3721795
TIAM_Grantham,D5_NG_HP_PriceShock,World,Energy System Cost,M$(2010)/yr,3416487,10970955,25619536,38118759,48014591,54852532,58526246,61018050,62806070,65230618,68006986
TIAM_Grantham,D2_NDC_DACCS_2_4,AFR,Energy System Cost,M$(2010)/yr,129434,493323,1123306,1916554,2718587,3489666,4049260,4572538,5144303,5686784,6162989
TIAM_Grantham,D2_NDC_DACCS_2_4,AUS,Energy System Cost,M$(2010)/yr,35750,116498,248271,370560,469371,514879,534560,551127,576149,600314,615432
TIAM_Grantham,D2_NDC_DACCS_2_4,CAN,Energy System Cost,M$(2010)/yr,91716,214636,497881,672715,607042,776097,793725,791156,795628,826225,844357
TIAM_Grantham,D2_NDC_DACCS_2_4,CHI,Energy System Cost,M$(2010)/yr,382099,1899486,4965467,5121938,6193469,6657006,6860320,6984490,6840968,6896275,7019072
TIAM_Grantham,D2_NDC_DACCS_2_4,CSA,Energy System Cost,M$(2010)/yr,190402,596383,1036906,2190182,3300002,3708879,4033534,4123112,4369093,4570767,4795090
TIAM_Grantham,D2_NDC_DACCS_2_4,EEU,Energy System Cost,M$(2010)/yr,73645,349909,1062658,1569263,1564022,1467825,1500435,1472983,1373554,1393283,1422758
TIAM_Grantham,D2_NDC_DACCS_2_4,FSU,Energy System Cost,M$(2010)/yr,266688,1222526,3232463,3956718,4179642,4131182,4267792,4183304,3702776,3744857,3823281
TIAM_Grantham,D2_NDC_DACCS_2_4,IND,Energy System Cost,M$(2010)/yr,148023,393407,988659,4389904,8259605,11508618,12874144,13136595,14084192,14554367,15239823
TIAM_Grantham,D2_NDC_DACCS_2_4,JPN,Energy System Cost,M$(2010)/yr,297468,505560,1048248,998797,1601110,1456863,1325848,1331799,1323606,1338924,1358988
TIAM_Grantham,D2_NDC_DACCS_2_4,MEA,Energy System Cost,M$(2010)/yr,195606,664320,1347421,2558008,3843690,4031468,3982131,4105369,4222792,4421040,4581449
TIAM_Grantham,D2_NDC_DACCS_2_4,MEX,Energy System Cost,M$(2010)/yr,58898,164841,305809,414836,519675,689459,728526,747837,779731,812644,840490
TIAM_Grantham,D2_NDC_DACCS_2_4,ODA,Energy System Cost,M$(2010)/yr,224447,685956,1730423,3424043,4965271,6567721,7230011,7923467,8361254,8929222,9456754
TIAM_Grantham,D2_NDC_DACCS_2_4,SKO,Energy System Cost,M$(2010)/yr,122099,257107,472115,627198,2330394,807653,771354,745193,726012,711870,713642
TIAM_Grantham,D2_NDC_DACCS_2_4,USA,Energy System Cost,M$(2010)/yr,748952,2035646,4911481,5488385,6870419,7007557,6954242,7108466,7076948,7213685,7344800
TIAM_Grantham,D2_NDC_DACCS_2_4,WEU,Energy System Cost,M$(2010)/yr,451261,1371357,2621027,4101872,6079973,4386012,3602229,3625730,3525120,3590612,3700147
TIAM_Grantham,D2_NDC_DACCS_2_4,World,Energy System Cost,M$(2010)/yr,3416487,10970955,25592134,37800971,53502275,57200885,59508111,61403165,62902127,65290868,67919073
GCAM 7.0,D3_HP_PriceShock,Africa_Eastern,energy-investment,M$(2010)/yr,2611,3933,27512,53732,75458,106604,136218,149872,167989,202822,232033
GCAM 7.0,D3_HP_PriceShock,Africa_Eastern,energy-service,M$(2010)/yr,55051,83599,134032,200679,302005,447183,627210,812866,1006021,1225593,1470417
GCAM 7.0,D3_HP_PriceShock,Africa_Northern,energy-investment,M$(2010)/yr,11616,18660,88507,170990,200069,235323,268957,258082,299010,329635,347195
GCAM 7.0,D3_HP_PriceShock,Africa_Northern,energy-service,M$(2010)/yr,207650,316672,428228,648535,884596,1101691,1312274,1467900,1599478,1749843,1903616
GCAM 7.0,D3_HP_PriceShock,Africa_Southern,energy-investment,M$(2010)/yr,4184,5989,28851,55315,87500,110243,147242,160433,180435,196479,205183
GCAM 7.0,D3_HP_PriceShock,Africa_Southern,energy-service,M$(2010)/yr,47056,70462,105096,178515,304269,460812,621168,774326,942084,1100931,1250282
GCAM 7.0,D3_HP_PriceShock,Africa_Western,energy-investment,M$(2010)/yr,13074,41169,64104,99315,147954,205689,288127,324040,368676,445324,527800
GCAM 7.0,D3_HP_PriceShock,Africa_Western,energy-service,M$(2010)/yr,126669,166036,259974,370009,543941,772784,1040472,1329758,1650317,2033643,2473237
GCAM 7.0,D3_HP_PriceShock,Argentina,energy-investment,M$(2010)/yr,15148,7167,78481,53047,93298,81413,88008,82546,88052,85208,77495
GCAM 7.0,D3_HP_PriceShock,Argentina,energy-service,M$(2010)/yr,136205,179463,251970,313080,339807,375638,422498,446249,454636,458527,457565
GCAM 7.0,D3_HP_PriceShock,Australia_NZ,energy-investment,M$(2010)/yr,15472,20392,84326,172533,283817,228550,300420,282546,306026,311397,300131
GCAM 7.0,D3_HP_PriceShock,Australia_NZ,energy-service,M$(2010)/yr,548907,626925,725044,819858,913761,1004343,1109349,1206822,1263575,1298445,1311765
GCAM 7.0,D3_HP_PriceShock,Brazil,energy-investment,M$(2010)/yr,21382,24390,93576,156010,252786,233635,265076,250719,257499,258436,251479
GCAM 7.0,D3_HP_PriceShock,Brazil,energy-service,M$(2010)/yr,496663,680256,796380,995751,1160600,1337129,1498775,1567529,1598095,1608823,1597258
GCAM 7.0,D3_HP_PriceShock,Canada,energy-investment,M$(2010)/yr,37847,41147,94544,145935,155405,166047,203361,207631,212741,220225,220285
GCAM 7.0,D3_HP_PriceShock,Canada,energy-service,M$(2010)/yr,585342,684348,772368,858814,942753,1028581,1128646,1194952,1242042,1270080,1278377
GCAM 7.0,D3_HP_PriceShock,Central America and Caribbean,energy-investment,M$(2010)/yr,5430,4363,16549,41101,39328,46033,54645,56247,62441,66198,68256
GCAM 7.0,D3_HP_PriceShock,Central America and Caribbean,energy-service,M$(2010)/yr,115148,143895,170427,232806,297292,365214,452522,507164,553742,597746,633037
GCAM 7.0,D3_HP_PriceShock,Central Asia,energy-investment,M$(2010)/yr,2378,9021,43243,59870,71572,77394,90606,81775,100366,108613,103293
GCAM 7.0,D3_HP_PriceShock,Central Asia,energy-service,M$(2010)/yr,151352,205701,262591,327771,357726,387913,455139,511092,565639,620490,675841
GCAM 7.0,D3_HP_PriceShock,China,energy-investment,M$(2010)/yr,138683,170312,885424,1164060,1594164,1429927,1573452,1390066,1391217,1407172,1332393
GCAM 7.0,D3_HP_PriceShock,China,energy-service,M$(2010)/yr,1649340,2885009,4418453,5339190,5072341,5033681,5203653,5207411,4985969,4802703,4543302
GCAM 7.0,D3_HP_PriceShock,Colombia,energy-investment,M$(2010)/yr,3880,6223,8871,13059,22823,22973,20621,29369,29601,28646,33550
GCAM 7.0,D3_HP_PriceShock,Colombia,energy-service,M$(2010)/yr,54330,69703,97523,117603,135184,179575,226268,255969,277910,294672,306011
GCAM 7.0,D3_HP_PriceShock,EU-12,energy-investment,M$(2010)/yr,13203,13704,59796,87318,94352,87789,91407,70297,76701,83590,72500
GCAM 7.0,D3_HP_PriceShock,EU-12,energy-service,M$(2010)/yr,454643,547456,572949,577379,579108,565105,571477,560983,548450,538894,528886
GCAM 7.0,D3_HP_PriceShock,EU-15,energy-investment,M$(2010)/yr,72496,85220,222501,334571,399369,394095,397640,352258,417231,424693,367794
GCAM 7.0,D3_HP_PriceShock,EU-15,energy-service,M$(2010)/yr,3231483,3399419,3369509,3434756,3563095,3657968,3786040,3796695,3822062,3836224,3800736
GCAM 7.0,D3_HP_PriceShock,Europe_Eastern,energy-investment,M$(2010)/yr,5357,3493,21719,22434,29739,35297,35443,37304,42897,44654,44959
GCAM 7.0,D3_HP_PriceShock,Europe_Eastern,energy-service,M$(2010)/yr,174442,195604,178840,159005,169814,203137,232897,260884,277581,297938,313416
GCAM 7.0,D3_HP_PriceShock,Europe_Non_EU,energy-investment,M$(2010)/yr,4618,5208,40549,58444,57539,69266,64689,56623,66445,69557,61497
GCAM 7.0,D3_HP_PriceShock,Europe_Non_EU,energy-service,M$(2010)/yr,220709,273179,455825,634961,660144,671748,713252,730309,731943,730406,730735
GCAM 7.0,D3_HP_PriceShock,European Free Trade Association,energy-investment,M$(2010)/yr,49612,54285,52733,90357,100599,99836,112998,112165,123353,124593,120632
GCAM 7.0,D3_HP_PriceShock,European Free Trade Association,energy-service,M$(2010)/yr,714954,748720,809143,834676,877774,923896,1019258,1067576,1105575,1133060,1149867
GCAM 7.0,D3_HP_PriceShock,India,energy-investment,M$(2010)/yr,29863,29013,192032,419142,428001,498004,584320,604954,591573,622800,636158
GCAM 7.0,D3_HP_PriceShock,India,energy-service,M$(2010)/yr,345359,577960,910806,1493017,1798540,2142209,2515037,2799505,3016905,3166019,3255749
